latitude,longitude
8.451258352481261,76.83481389058699
8.733465171526532,76.60834197748865
8.631884688242543,76.77051028642661
8.885522639737793,76.54701195556088
8.858651,76.73359
9.108651,76.73359
9.224103414182657,76.35410432343424
9.118984536587492,76.50328640125274
9.358651,76.48359
9.382370184226247,76.32615993879993
9.358651,76.73359
9.608651,76.48359
9.608651,76.73359
9.616170469328436,76.30732760984787
9.858651,76.73359
9.868652826649956,76.28315332855063
9.858651,76.48359
10.115327197843401,76.24575668870119
10.216018179529799,76.10148728266694
10.108651,76.73359
10.108651,76.48359
10.358651,76.73359
10.358651,76.23359
10.358651,76.48359
10.608651,76.23359
10.608651,76.48359
10.608651,76.73359
10.858651,76.23359
10.858651,76.73359
10.389175146556775,76.0652973221816
10.620470964310949,76.01174788966918
10.863713158978973,75.98823808321536
10.858651,76.98359
11.108651,76.98359
11.108651,77.23359
11.108651,77.48359
11.358651,76.98359
11.358651,77.48359
11.358651,77.23359
11.608651,77.48359
11.608651,77.23359
11.608651,76.98359
10.91748142726516,75.8435027203806
11.108651,75.98359
11.130260010855388,75.81502304870726
11.47626106150124,75.60450718553946
11.372494777879949,75.75796240033915
11.358651,75.98359
11.647875413723273,75.55244118778914
11.608651,75.73359
11.608651,75.98359
10.858651,76.48359
11.108651,76.23359
11.108651,76.48359
11.108651,76.73359
11.358651,76.48359
11.358651,76.73359
11.358651,76.23359
11.608651,76.48359
11.608651,76.23359
11.608651,76.73359
11.919573105987576,75.30706130729538
12.210974923076922,75.09658476543756
12.119147096032105,75.24874240473771
12.385341839700134,75.05068986073786
12.358651,75.23359
11.858651,76.98359
11.858651,77.23359
11.858651,77.48359
12.108651,77.23359
12.108651,76.98359
12.108651,77.48359
12.358651,76.98359
12.358651,77.48359
12.358651,77.23359
12.608651,77.48359
11.861957872534633,75.48685442629655
11.858651,75.73359
11.858651,75.98359
12.108651,75.48359
12.108651,75.73359
12.108651,75.98359
12.358651,75.48359
12.358651,75.73359
12.358651,75.98359
12.608651,75.48359
11.858651,76.73359
11.858651,76.48359
11.858651,76.23359
12.108651,76.73359
12.108651,76.23359
12.108651,76.48359
12.358651,76.23359
12.358651,76.73359
12.358651,76.48359
12.608651,76.23359
12.616841209963017,75.00625599084441
12.608651,75.23359
12.901410971706515,74.82268612897451
12.858735167641266,74.98367569401148
12.858651,75.23359
13.108651,75.23359
13.118531613681112,74.79309796686549
13.108651,74.98359
13.358651,74.98359
13.358651,75.23359
12.608651,76.98359
12.608651,77.23359
12.858651,77.48359
12.858651,77.23359
12.858651,76.98359
13.108651,77.48359
13.108651,76.98359
13.108651,77.23359
13.358651,77.23359
13.358651,76.98359
11.920196933765606,71.69931306684843
12.214575091316094,71.82407468560389
12.226935463730781,71.86522176157936
12.324083031781706,71.86840231311615
12.302018782539045,71.83136725657208
7.976934000000001,77.47719996452818
8.147642449544177,77.25637067941892
8.11864501687278,77.47629184060801
8.209111431179883,77.08019330051317
8.358651,77.23359
8.37791035335036,77.00197710688794
8.161662541874296,77.71847764587464
8.20968062302153,77.8939799692404
8.358651,77.73359
8.371835211173295,77.9657508408893
8.608651,77.73359
8.609099263384751,77.9829701014946
8.358651,77.48359
8.608651,77.23359
8.608651,77.48359
8.608651,76.98359
8.858651,77.48359
8.858651,76.98359
8.858651,77.23359
9.108651,77.48359
9.108651,76.98359
9.108651,77.23359
8.981889268837932,78.36073511460313
9.13143808560037,78.47524738375617
9.189261731762453,78.96695353270924
8.655061304413948,78.12712698593015
8.858651,77.98359
8.906010146685151,78.19054737392575
8.858651,77.73359
9.108651,77.73359
9.108651,77.98359
9.108651,78.23359
9.358651,77.73359
9.358651,77.98359
9.168933520647332,78.72130319332682
9.173331356940494,79.12844666666668
9.358651,78.48359
9.358651,78.73359
9.349003757324597,78.89394259238955
9.608651,78.48359
9.632639033302816,78.93868052414192
9.608651,78.73359
9.358651,77.48359
9.358651,76.98359
9.358651,77.23359
9.608651,77.48359
9.608651,76.98359
9.608651,77.23359
9.858651,76.98359
9.858651,77.23359
9.858651,77.48359
10.108651,76.98359
9.358651,78.23359
9.608651,78.23359
9.608651,77.73359
9.608651,77.98359
9.858651,78.23359
9.858651,77.73359
9.858651,77.98359
10.108651,78.23359
10.108651,77.98359
10.108651,77.73359
9.904764499908381,79.16062087625477
9.858651,78.48359
9.858651,78.73359
9.858974993974785,78.98326131484905
10.108651,78.98359
10.108651,78.73359
10.124094130000348,79.19583245478975
10.108651,78.48359
10.358651,78.48359
10.358651,79.23359
10.108651,77.23359
10.108651,77.48359
10.358651,77.48359
10.358651,76.98359
10.358651,77.23359
10.608651,77.23359
10.608651,76.98359
10.608651,77.48359
10.858651,77.48359
10.858651,77.23359
10.358651,78.98359
10.358651,78.73359
10.608651,79.23359
10.608651,78.48359
